Name,TotalTime,RecipeCategory,Keywords,RecipeIngredientParts,RecipeInstructions,Calories
Original Leche Flan - Philippines,PT1H20M,Dessert,"c(""Filipino"", ""Asian"", ""< 4 Hours"")","c(""sugar"", ""water"", ""milk"", ""vanilla"")","c(""Caramel:"", ""Put sugar and water in a saucepan. Caramelize on high heat.  Line loaf tin with caramel.  Be sure to line the sides of the pan."", ""Custard:"", ""Blend all ingredients in a blender.  Pour mixture into caramel lined loaf pan."", ""Cover with aluminum foil.  Place tin in a larger baking pan half filled with water.  Place pan in pre-heated oven at 375 degrees, and bake flan for about 1 hour or until firm."", ""Place serving dish over top of loaf pan, and invert.  Flan will easily plate, and the caramel provides a wonderful sauce.""
)",511.9
Lumpia (Filipino Egg Roll),PT48M,Lunch/Snacks,"c(""Pork"", ""Meat"", ""Filipino"", ""Asian"", ""< 60 Mins"")","c(""lumpia skins"", ""ground beef"", ""ground pork"", ""green onion"", ""carrot"", ""celery"", ""egg"", ""soy sauce"", ""ground pepper"", ""flour"", ""water"")","c(""Brown beef and pork, until almost completely cooked. Drain fat. Cool and process in food processor or chop up into fine pieces (like Taco Bell taco meat or a little coarser) with fork."", ""Combine meats, vegetables, egg, sauces, pepper in a large bowl. Cover and refrigerate for 30 minutes to 1 hour for flavors to set inches I like to prepare my filling the day before so it can marinate all night."", ""Prepare wrapper (by separating) and place on a separate plate. Place 1 to 2 T of filling in the center of the wrapper."", 
""Fold left edge over all the way, then bring down top and bottom, then roll the rest of the way to the right, making a roll. hard to explain without a picture, but you'll figure it out -- looks like an egg roll when done, only thinner and longer.  Seal with with flour and water mixture."", ""After you have assembled all the lumpia, heat your oil (I use the deep fryer) to 375 degrees. Cook until golden brown, turning often, approximately 3 minutes. Drain on paper towels."", ""Serve with sweet and sour sauce."", 
""Note: the wrapper packages usually have instructions for rolling the wrap. Times vary by experience and methods used."")",141.7
Refreshing Far East Fruit Salad,PT15H15M,Dessert,"c(""Oranges"", ""Pineapple"", ""Citrus"", ""Tropical Fruits"", ""Fruit"", ""Filipino"", ""Asian"", ""Summer"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""confectioners' sugar"", ""mandarin orange sections"", ""pineapple"", ""sweetened coconut"")","c(""Whip cream with confectioner's sugar in large chilled bowl."", ""Mix next 4 ingredients & fold into whipped cream."", ""Chill thoroughly, at least an hour; confectioner's sugar helps stabilize whipped cream. If planning to keep overnight, stabilize whipped cream with gelatin."", ""Stir in nuts just before serving."")",947.6
Philippine Mung Beans in Coconut Milk,PT1H30M,Stew,"c(""Chard"", ""Coconut"", ""Greens"", ""Beans"", ""Fruit"", ""Vegetable"", ""Nuts"", ""Filipino"", ""Asian"", ""Vegan"", ""< 4 Hours"")","c(""onion"", ""salt"", ""fresh chili pepper"", ""garlic cloves"", ""coconut milk"", ""soy sauce"", ""chard leaves"")","c(""Soak the beans in water for several hours or overnight. Drain, then cook them until tender (about 1 hour). Drain."", ""While the beans are cooking, saute the onions in the oil with salt."", ""When translucent, add ginger, chiles, and garlic. Simmer on low heat for a few minutes."", ""Add the coconut milk and simmer for 5 more minutes."", ""Combine the beans and the coconut milk mixture in a large pot. Add the soy sauce and chard, and cook until the chard wilts."", ""Remove from heat and serve (I like it with rice).""
)",486.2
Monkey Meat Kabobs,PT1H,Pork,"c(""Meat"", ""Filipino"", ""Asian"", ""Very Low Carbs"", ""High Protein"", ""High In..."", ""< 60 Mins"")","c(""chicken broth"", ""garlic"", ""ginger"", ""pepper"")","c(""Cut up pork steaks into bite size pieces."", ""Mix the teriyaki, chicken broth, garlic, ginger and pepper together."", ""Place the meat in a container and pour the marinade over it."", ""Place an air tight lid on the container and marinate overnight."", ""Place on presoaked bamboo skewers."", ""Grill on a foil covered grill that has been sprayed with cooking spray."", ""Grill until dark brown; 20 minutes is a guess; it really depends on the cut of the meat and the temperature of your grill."", ""Great served with rice.""
)",123
Budbud Pilit,PT50M,Breakfast,"c(""Lunch/Snacks"", ""White Rice"", ""Rice"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""For Large Groups"", ""Steam"", ""Easy"")","c(""glutinous rice"", ""coconut milk"", ""sugar"", ""salt"")","c(""Wash malagkit very well. Drain."", ""Cook with coconut milk, salt, and sugar in a wok, stirring constantly."", ""When mixture is almost dry, stir to prevent it from sticking to the bottom of the wok."", ""Reduce the heat, and cover the mixture with banana leaves for a few minutes."", ""Wrap 2 tablespoon of the cooked malagkit in wilted banana leaves."", ""Tie in pairs, and steam for about 30 minutes in a big pot."", ""Serve with hot chocolate or ripe mangoes."")",264.1
Goat Caldereta,PT2H30M,Stew,"c(""Meat"", ""Filipino"", ""Asian"", ""< 4 Hours"")","c(""distilled white vinegar"", ""salt"", ""olive oil"", ""garlic cloves"", ""onion"", ""cinnamon sticks"", ""bay leaves"", ""tomato paste"", ""potatoes"", ""red bell pepper"", ""whole black peppercorn"", ""fresh ground black pepper"")","c(""Put the cubed meat into a bowl and add the vinegar, salt and pepper. Set aside for 30-40 minutes."", ""Drain the meat, saving the liquid,  and pat it dry."", ""In a large heavy sauce pan, heat the oil over medium heat. Put as many cubes o meat into the pan as it will fit without crowding."", ""Brown the meat on all sides and repeat until all of the meat is browned. Remove meat from pan."", ""Put the onion and garlic into the pan and cook for 2 minutes., scraping up any pan juices."", ""Put in black peppercorns, cinnamon stick and bay leaves."", 
""Stir and cook for another minute."", ""Return the meat into the pan with its accumulated juices, reserved marinade and the tomato paste."", ""Stir and cook for another minute."", ""Add 2 cups of waters and bring to boil."", ""Cover, bring the heat to low and cook for 15 minutes."", ""Meanwhile, peel the potatoes and cut them into 1 1/2 inch cubes."", ""When the meat has cooked for 15 minutes, add the potatoes."", ""Cover, and continue to cook for 45-60 minutes or until the meat is tender."", ""Seed the bell pepper and cut it into 1/4 inch wide strips."", 
""When the meat is tender add the pepper into the stew."", ""Stir and cook for another 3-5 minutes."")",482
Budbud Kabog Recipe,PT3H,Breakfast,"c(""Grains"", ""Filipino"", ""Asian"", ""For Large Groups"", ""< 4 Hours"")","c(""fresh coconut"", ""warm water"", ""water"", ""sugar"", ""salt"")","c(""Preparation stage:"", ""Grate two of the mature coconuts to get the meat and add 2 cups of warm water to the meat. Extract the mild manually and pass through a piece of cheesecloth. After the first extraction, add another 2 cups of warm water to the grated coconut meat and extract again."", ""Repeat the process until you have 6 cups or more of coconut milk. You can mix the first and second pressings together but set the third pressings aside in case you'll need it in the latter part of the cooking."", 
""Wash the millet in two changes of water. Drain and set aside. If using fresh banana leaves, cut off the mid ribs and run each half of the leaf over fire to wilt the leaves and make them pliable for wrapping. Tear leaves into 6 inches in width until you have about 100 pieces. Do not use leaves which have tears in the center. Set these aside and cut them into tiny strips to use for tying up the budbud in pairs."", ""Using coconut meat from where you extracted the milk, wipe each piece of banana leaf so that the leaf wrapper is clean and oiled from the residue of he coconut meat."", 
""Cooking stage:"", ""Add salt to 6 cups of the coconut milk and bring to boil, stirring occasionally. This process will thicken the milk. Once it starts to slow boil, add the washed millet. Stir constantly until the millet starts to cook, making sure that the mixture doesn't stick to the bottom of the pan to form a crust. It has come to boil when you see bubbles of steam coming out from the mixture like a slowly erupting volcano."", ""Add sugar and salt and mix well. The color will become a darker yellow. Continue stirring constantly until cooked, about 30 more minutes. The suman is already cooked and can be eaten. Set aside for wrapping."", 
""Wrapping and final cooking stage:"", ""Put a heaping tablespoon of the cooked millet onto the center of a cut piece of wilted banana leaf. Gently form the millet into a 5-inch log with a diameter of 1 inch. You can do this by rolling the mixture in the banana leaf without having to touch the millet mixture. Once you have the rolled mixture into shape, tighten the roll and fold one end and then the other. Do this until you have finished all the millet."", ""Put two pieces of suman together with the flaps facing each other. Tie both ends with the cut-up leaf string. Repeat with remaining pieces."", 
""Place all the paired suman in a steamer with enough water to steam the suman for an hour. The suman should be steamed from the very start when you put the water in the steamer. The suman is ready when the color of the leaf changes from light green to dark green. Minimum time is one hour of steaming. The traditional way of eating this suman is with mango and hot chocolate."")",63.1
Phillipino Chicken With Noodles,PT1H,Chicken,"c(""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""< 60 Mins"")","c(""garlic"", ""onion"", ""chicken pieces"", ""pepper"", ""water"", ""cellophane noodles"", ""green onion"")","c(""Saute garlic in oil until brown."", ""Add onion, chicken, patis and pepper.  Cover; bring to boil, then simmer for 10 minutes."", ""Add water; bring to boil.  Simmer until chicken is cooked.  The dish should be covered, but leave lid off part of the time."", ""Remove chicken from broth.  Take off meat, shred, and throw back into the pot.  Discard skin and bones."", ""Add broken up noodles and cook another 5 minutes."", ""Spoon noodles, chicken  and broth into bowls; sprinkle with scallions before serving.""
)",471.5
Pork (Chicken) Adobo,PT1H,White Rice,"c(""Pork"", ""Rice"", ""Onions"", ""Vegetable"", ""Meat"", ""Filipino"", ""Asian"", ""< 60 Mins"", ""Stove Top"")","c(""yellow onion"", ""garlic"", ""pork"", ""white vinegar"", ""water"", ""soy sauce"", ""paprika"", ""olive oil"", ""cornstarch"", ""water"")","c(""Finely dice the onion and garlic (note that this is a whole head of garlic, not just a single clove.)."", ""Brown the finely diced onion and the garlic in a large pot with a little oil."", ""Cut the pork or chicken into 1”x1” to 1”x3” pieces. If using bone-in, just cut away some of the larger pieces from the bone."", ""Add the 1 cup of vinegar and 1 cup of water to the onion/garlic."", ""Bring it to a low boil at about medium-high."", ""Add the meat and continue to cook at or near boiling for a minimum of 20 minutes."", 
""Sometime during the 20 minutes, add the balsamic vinegar (to taste). I usually cook it for more than 20 minutes. The extra time doesn’t hurt the meat and actually makes it tenderer (Probably because of the vinegar)."", ""With about ten minutes left, add the soy sauce."", ""If you cook it as long as I do (30-40 minutes), you will want to have an extra cup of water and some vinegar (white) on hand since the mixture will probably reduce too much."", ""When the meat is tender, pull it out of the gravy and brown it in a little oil in a separate pan. I sometimes sprinkle a little bit of paprika on it at this point for both color and flavor."", 
""While the meat is browning use a cold water roux made from a one-to-one ratio of  cornstarch and water to thicken the remaining gravy."", ""The meat can be remixed with the gravy after browning or served separately. I usually put the meat and gravy together and serve it over the rice. Sometimes I serve the chicken and rice separately, dousing both with gravy."")",608.4
Mixed Noodles,PT25M,Lunch/Snacks,"c(""Chicken"", ""Poultry"", ""Meat"", ""Filipino"", ""Asian"", ""Healthy"", ""< 30 Mins"")","c(""onion"", ""garlic clove"", ""cabbage"", ""light soy sauce"", ""cooked ham"", ""pepper"", ""lemon wedge"")","c(""Soak egg noodles in warm water for 10 minutes to loosen strands. Drain. Boil noodles in lightly salted water for 3 minutes or until tender but still firm to bite. Drain."", ""Heat oil in a wok and fry finely sliced onion and finely chopped garlic until golden."", ""Add shredded cabbage and stir fry for 2 minutes. Add soy sauce mixed with 2 tablespoons of water, cover and cook for 3 minutes."", ""Add prawns, chicken, ham and noodles. Toss and fry until heated through and no liquid remains."", ""Season with pepper and serve."", 
""Garnish with lemon wedges to add piquancy to individual serves."", ""Tip. Cooked pork can be used instead of chicken or as an extra."")",449.8
Pancit Lomi,PT25M,Squid,"c(""No Shell Fish"", ""Filipino"", ""Asian"", ""< 30 Mins"")","c(""onion"", ""chicken broth"", ""cornstarch"", ""soy sauce"", ""salt"", ""squid"", ""celery"", ""mushroom"")","c(""Saute garlic and onion, when brown add squid and mushrooms."", ""Add soy sauce and stir for 2 minutes."", ""Add 1/2 cup waterr and simmer until water is almost dry."", ""Add broth. Cover and let boil for 10 minutes."", ""Drop in noodles,celery."", ""Let boil for 3 minutes and thicken with dissolved cornstarch. Put off the heat."")",799.1
Pinakbet ( Philippine Vegetable Stew),PT45M,Stew,"c(""One Dish Meal"", ""Onions"", ""Vegetable"", ""Filipino"", ""Asian"", ""< 60 Mins"")","c(""Japanese eggplant"", ""salt"", ""fresh ginger"", ""garlic cloves"", ""onion"", ""Japanese soy sauce"", ""squash"", ""okra"")","c(""Brown the ginger, garlic and onions."", ""Add two cups of water and all the ingredients."", ""Simmer vigourously for 20 minutes."", ""Stirring often."", ""It is done when the liquid is thick and the vegetables are tender."", ""Add salt if necessary."", ""Remove the ginger."")",99
Turon,PT29M,Dessert,"c(""Lunch/Snacks"", ""Tropical Fruits"", ""Fruit"", ""Filipino"", ""Asian"", ""Low Cholesterol"", ""Healthy"", ""< 30 Mins"", ""Deep Fried"", ""Easy"", ""Inexpensive"")","c(""lumpia skins"", ""bananas"", ""brown sugar"", ""egg"")","c(""Peel and cut bananas to fit the wrappers. I use rather large bananas so I cut them both lengthwise and crosswise to make 4 pieces. Adjust this so that your banana \""fits\"" so you can roll it like and eggroll."", ""Spread a little brown sugar on the lumpia wrapper, add the banana. Alternatively, you can roll the banana in the sugar instead of sprinkling some on the wrapper. My kids find this easier. If you are using jackfruit add a little with the banana."", ""Roll like you would an eggroll. Wet the end flap with a little water or beaten egg to seal."", 
""Deep fry at about 350 degrees until golden brown. It generally takes me 5-7 minutes per batch."")",350.4
